datetime,cash,commission,total,BTCUSDT,benchmark_price,returns,benchmark_returns,equity_curve_norm
2022-01-01T00:00:00.000000,10000.0,0.0,10000.0,0.0,0.0,,,1.0
2022-01-01T00:00:00.000000,10000.0,0.0,10000.0,0.0,99.85772783053648,0.0,inf,1.0
2022-01-02T00:00:00.000000,10000.0,0.0,10000.0,0.0,98.49559017870888,0.0,-0.013640783556974283,1.0
2022-01-03T00:00:00.000000,10000.0,0.0,10000.0,0.0,99.74469558378699,0.0,0.012681840910966207,1.0
2022-01-04T00:00:00.000000,10000.0,0.0,10000.0,0.0,99.40915650073971,0.0,-0.0033639792179767825,1.0
2022-01-05T00:00:00.000000,10000.0,0.0,10000.0,0.0,97.02763565523661,0.0,-0.02395675538686804,1.0
2022-01-06T00:00:00.000000,10000.0,0.0,10000.0,0.0,97.08786961804645,0.0,0.000620791822897474,1.0
2022-01-07T00:00:00.000000,10000.0,0.0,10000.0,0.0,98.47223066421864,0.0,0.014258846667646588,1.0
2022-01-08T00:00:00.000000,10000.0,0.0,10000.0,0.0,95.2546950626728,0.0,-0.032674547736380136,1.0
2022-01-09T00:00:00.000000,10000.0,0.0,10000.0,0.0,95.23052469826388,0.0,-0.00025374459907739124,1.0
2022-01-10T00:00:00.000000,10000.0,0.0,10000.0,0.0,96.0430868342382,0.0,0.008532580688270968,1.0
2022-01-11T00:00:00.000000,10000.0,0.0,10000.0,0.0,94.08481400475104,0.0,-0.020389524056707607,1.0
2022-01-12T00:00:00.000000,10000.0,0.0,10000.0,0.0,88.2156515715935,0.0,-0.062381612752735675,1.0
2022-01-13T00:00:00.000000,10000.0,0.0,10000.0,0.0,87.49183823183432,0.0,-0.008205044420850278,1.0
2022-01-14T00:00:00.000000,10000.0,0.0,10000.0,0.0,87.31923463989344,0.0,-0.001972796496554598,1.0
2022-01-15T00:00:00.000000,10000.0,0.0,10000.0,0.0,91.890968459804,0.0,0.052356549376142605,1.0
2022-01-16T00:00:00.000000,10000.0,0.0,10000.0,0.0,91.188547909848,0.0,-0.007644065153837871,1.0
2022-01-17T00:00:00.000000,10000.0,0.0,10000.0,0.0,89.11863119262759,0.0,-0.022699305610906276,1.0
2022-01-18T00:00:00.000000,10000.0,0.0,10000.0,0.0,91.69129794628167,0.0,0.028867889006209308,1.0
2022-01-19T00:00:00.000000,10000.0,0.0,10000.0,0.0,88.20164527585773,0.0,-0.03805871166169321,1.0
2022-01-20T00:00:00.000000,10000.0,0.0,10000.0,0.0,87.8525009443585,0.0,-0.003958478670179626,1.0
2022-01-21T00:00:00.000000,10000.0,0.0,10000.0,0.0,88.14682260797048,0.0,0.003350179681263604,1.0
2022-01-22T00:00:00.000000,10000.0,0.0,10000.0,0.0,87.27814011263602,0.0,-0.009854949612850883,1.0
2022-01-23T00:00:00.000000,10000.0,0.0,10000.0,0.0,88.50035130967395,0.0,0.014003634764221694,1.0
